raw_email_uid,marked_at,note
19,2026-09-24T14:25:07,GRiZ - Free Shows for the People — 2026-09-27 — UNSPECIFIED (1 row)
141,2026-09-24T14:25:03,Four Tet — 2026-09-24 — GA (1 row)
